,day,duration,hour,weekday,rain
0,1,105,6,1,0.0
1,1,92,6,1,0.0
2,1,93,6,1,0.0
3,1,94,6,1,0.0
4,1,148,6,1,0.0
5,1,96,6,1,0.0
6,1,108,6,1,0.0
7,1,107,7,1,0.0
8,1,107,7,1,0.0
9,1,103,7,1,0.0
10,1,106,7,1,0.0
11,1,117,7,1,0.0
12,1,112,7,1,0.0
13,1,115,8,1,0.0
14,1,108,8,1,0.0
15,1,110,8,1,0.0
16,1,109,8,1,0.0
17,1,106,8,1,0.0
18,1,104,8,1,0.0
19,1,106,9,1,0.0
20,1,107,9,1,0.0
21,1,103,9,1,0.0
22,1,107,9,1,0.0
23,1,94,9,1,0.0
24,1,94,9,1,0.0
25,1,96,10,1,0.0
26,1,100,10,1,0.0
27,1,100,10,1,0.0
28,1,97,10,1,0.0
29,1,96,10,1,0.0
30,1,102,10,1,0.0
31,1,94,11,1,0.0
32,1,97,11,1,0.0
33,1,97,11,1,0.0
34,1,94,11,1,0.0
35,1,100,11,1,0.0
36,1,102,11,1,0.0
37,1,94,12,1,0.0
38,1,99,12,1,0.0
39,1,103,12,1,0.0
40,1,93,12,1,0.0
41,1,95,12,1,0.0
42,1,93,13,1,0.0
43,1,96,13,1,0.0
44,1,96,13,1,0.0
45,1,100,13,1,0.0
46,1,96,13,1,0.0
47,1,98,13,1,0.0
48,1,95,13,1,0.0
49,1,93,14,1,0.0
50,1,106,14,1,0.0
51,1,92,14,1,0.0
52,1,95,14,1,0.0
53,1,87,14,1,0.0
54,1,97,14,1,0.0
55,1,103,15,1,0.0
56,1,105,15,1,0.0
57,1,104,15,1,0.0
58,1,105,15,1,0.0
59,1,107,15,1,0.0
60,1,108,15,1,0.0
61,1,103,16,1,0.0
62,1,109,16,1,0.0
63,1,111,16,1,0.0
64,1,104,16,1,0.0
65,1,113,16,1,0.0
66,1,104,16,1,0.0
67,1,114,16,1,0.0
68,1,108,17,1,0.0
69,1,115,17,1,0.0
70,1,102,17,1,0.0
71,1,109,17,1,0.0
72,1,101,17,1,0.0
73,1,111,18,1,0.0
74,1,112,18,1,0.0
75,1,111,18,1,0.0
76,1,98,18,1,0.0
77,1,97,18,1,0.0
78,1,115,18,1,0.0
79,1,89,19,1,0.0
80,1,95,19,1,0.0
81,1,67,19,1,0.0
82,1,96,19,1,0.0
83,1,94,20,1,0.0
84,1,99,20,1,0.0
85,1,98,20,1,0.0
86,1,94,21,1,0.0
87,1,92,21,1,0.0
88,1,118,21,1,0.0
89,1,83,22,1,0.0
90,1,78,22,1,0.0
91,1,89,23,1,0.0
92,2,96,6,1,0.0
93,2,93,6,1,0.0
94,2,105,6,1,0.0
95,2,92,6,1,0.0
96,2,91,6,1,0.0
97,2,95,6,1,0.0
98,2,107,6,1,0.0
99,2,109,7,1,0.0
100,2,100,7,1,0.0
101,2,137,7,1,0.0
102,2,102,7,1,0.0
103,2,116,7,1,0.0
104,2,114,7,1,0.0
105,2,112,8,1,0.0
106,2,116,8,1,0.0
107,2,111,8,1,0.0
108,2,103,8,1,0.0
109,2,109,8,1,0.0
110,2,103,9,1,0.0
111,2,106,9,1,0.0
112,2,106,9,1,0.0
113,2,111,9,1,0.0
114,2,105,9,1,0.0
115,2,98,9,1,0.0
116,2,97,9,1,0.0
117,2,97,10,1,0.0
118,2,97,10,1,0.0
119,2,97,10,1,0.0
120,2,97,10,1,0.0
121,2,105,10,1,0.0
122,2,96,10,1,0.0
123,2,89,11,1,0.0
124,2,95,11,1,0.0
125,2,96,11,1,0.0
126,2,95,11,1,0.0
127,2,96,11,1,0.0
128,2,94,11,1,0.0
129,2,99,12,1,0.0
130,2,97,12,1,0.0
131,2,102,12,1,0.0
132,2,96,12,1,0.0
133,2,102,12,1,0.0
134,2,93,13,1,0.0
135,2,102,13,1,0.0
136,2,107,13,1,0.0
137,2,99,13,1,0.0
138,2,95,13,1,0.0
139,2,96,13,1,0.0
140,2,97,13,1,0.0
141,2,91,14,1,0.0
142,2,102,14,1,0.0
143,2,100,14,1,0.0
144,2,94,14,1,0.0
145,2,95,14,1,0.0
146,2,98,14,1,0.0
147,2,104,15,1,0.0
148,2,105,15,1,0.0
149,2,104,15,1,0.0
150,2,106,15,1,0.0
151,2,106,15,1,0.0
152,2,101,15,1,0.0
153,2,104,16,1,0.0
154,2,118,16,1,0.0
155,2,127,16,1,0.0
156,2,111,16,1,0.0
157,2,254,16,1,0.0
158,2,112,16,1,0.0
159,2,107,16,1,0.0
160,2,121,17,1,0.0
161,2,118,17,1,0.0
162,2,107,17,1,0.0
163,2,92,17,1,0.0
164,2,108,17,1,0.0
165,2,107,18,1,0.0
166,2,107,18,1,0.0
167,2,67,18,1,0.0
168,2,110,18,1,0.0
169,2,102,18,1,0.0
170,2,120,18,1,0.0
171,2,93,19,1,0.0
172,2,97,19,1,0.0
173,2,96,19,1,0.0
174,2,94,20,1,0.0
175,2,104,20,1,0.0
176,2,64,20,1,0.0
177,2,106,20,1,0.0
178,2,101,21,1,0.0
179,2,93,21,1,0.0
180,2,96,21,1,0.0
181,2,83,22,1,0.0
182,2,86,22,1,0.0
183,2,91,22,1,0.0
184,3,96,6,1,0.0
185,3,93,6,1,0.0
186,3,93,6,1,0.0
187,3,97,6,1,0.0
188,3,79,6,1,0.0
189,3,99,6,1,0.0
190,3,106,6,1,0.0
191,3,106,7,1,0.0
192,3,100,7,1,0.0
193,3,108,7,1,0.0
194,3,102,7,1,0.0
195,3,117,7,1,0.0
196,3,114,7,1,0.0
197,3,113,8,1,0.0
198,3,108,8,1,0.0
199,3,119,8,1,0.0
200,3,114,8,1,0.0
201,3,109,8,1,0.0
202,3,109,8,1,0.0
203,3,103,9,1,0.0
204,3,105,9,1,0.0
205,3,110,9,1,0.0
206,3,105,9,1,0.0
207,3,103,9,1,0.0
208,3,94,10,1,0.0
209,3,99,10,1,0.0
210,3,97,10,1,0.0
211,3,98,10,1,0.0
212,3,98,10,1,0.0
213,3,97,10,1,0.0
214,3,97,10,1,0.0
215,3,102,11,1,0.0
216,3,95,11,1,0.0
217,3,117,11,1,0.0
218,3,92,11,1,0.0
219,3,94,11,1,0.0
220,3,95,11,1,0.0
221,3,95,12,1,0.0
222,3,92,12,1,0.0
223,3,102,12,1,0.0
224,3,94,12,1,0.0
225,3,99,12,1,0.0
226,3,96,12,1,0.0
227,3,100,13,1,0.0
228,3,96,13,1,0.0
229,3,114,13,1,0.0
230,3,94,13,1,0.0
231,3,96,13,1,0.0
232,3,96,13,1,0.0
233,3,94,14,1,0.0
234,3,98,14,1,0.0
235,3,135,14,1,0.0
236,3,94,14,1,0.0
237,3,94,14,1,0.0
238,3,108,15,1,0.0
239,3,109,15,1,0.0
240,3,109,15,1,0.0
241,3,105,15,1,0.0
242,3,108,15,1,0.0
243,3,110,15,1,0.0
244,3,103,16,1,0.0
245,3,110,16,1,0.0
246,3,109,16,1,0.0
247,3,106,16,1,0.0
248,3,108,16,1,0.0
249,3,106,16,1,0.0
250,3,110,16,1,0.0
251,3,109,17,1,0.0
252,3,117,17,1,0.0
253,3,104,17,1,0.0
254,3,102,17,1,0.0
255,3,105,17,1,0.0
256,3,113,18,1,0.0
257,3,97,18,1,0.0
258,3,108,18,1,0.0
259,3,114,18,1,0.0
260,3,66,18,1,0.0
261,3,121,18,1,0.0
262,3,91,19,1,0.0
263,3,92,19,1,0.0
264,3,96,19,1,0.0
265,3,91,19,1,0.0
266,3,105,20,1,0.0
267,3,98,20,1,0.0
268,3,98,20,1,0.0
269,3,94,21,1,0.0
270,3,92,21,1,0.0
271,3,96,21,1,0.0
272,3,86,22,1,0.0
273,3,86,22,1,0.0
274,3,97,23,1,0.0
275,4,99,6,1,0.0
276,4,97,6,1,0.0
277,4,98,6,1,0.0
278,4,96,6,1,0.0
279,4,91,6,1,0.0
280,4,104,6,1,0.0
281,4,108,6,1,0.0
282,4,107,7,1,0.0
283,4,101,7,1,0.0
284,4,105,7,1,0.0
285,4,103,7,1,0.0
286,4,114,7,1,0.0
287,4,101,7,1,0.0
288,4,107,8,1,0.0
289,4,112,8,1,0.0
290,4,113,8,1,0.0
291,4,125,8,1,0.0
292,4,104,8,1,0.0
293,4,102,9,1,0.0
294,4,100,9,1,0.0
295,4,103,9,1,0.0
296,4,45,9,1,0.0
297,4,105,9,1,0.0
298,4,98,9,1,0.0
299,4,95,10,1,0.0
300,4,94,10,1,0.0
301,4,92,10,1,0.0
302,4,98,10,1,0.0
303,4,94,10,1,0.0
304,4,97,10,1,0.0
305,4,99,10,1,0.0
306,4,104,11,1,0.0
307,4,93,11,1,0.0
308,4,104,11,1,0.0
309,4,97,11,1,0.0
310,4,96,11,1,0.0
311,4,101,11,1,0.0
312,4,99,12,1,0.0
313,4,91,12,1,0.0
314,4,104,12,1,0.0
315,4,97,12,1,0.0
316,4,98,12,1,0.0
317,4,96,12,1,0.0
318,4,93,13,1,0.0
319,4,96,13,1,0.0
320,4,96,13,1,0.0
321,4,102,13,1,0.0
322,4,107,13,1,0.0
